"ID","PubID","Journal","Outcome","Notes","strain","sex","age","control_mean","control_sd","control_n","test_mean","test_sd","test_n","total_days","total_time_h","water_depriv_h","food_depriv_h"
5881,"Jiang 2024","Mol Neurobiol","SPT",NA,"SD","M",NA,74,6.63,"11",37,26.53,"11",14,84,23,23
5881,"Jiang 2024","Mol Neurobiol","SPT",NA,"SD","M",NA,70,9.95,"11",35,16.58,"11",21,126,23,23
5993,"Ruanpang 2025","Vet World","SPT",NA,"Wistar","M","7",68,12.65,"10",80,6.32,"10",7,21,NA,NA
5993,"Ruanpang 2025","Vet World","SPT",NA,"Wistar","M","7",68,12.65,"10",75,6.32,"10",14,42,NA,NA
5993,"Ruanpang 2025","Vet World","SPT",NA,"Wistar","M","7",68,12.65,"10",72,9.49,"10",28,84,NA,NA
6184,"Li 2022","Mol Neurobiol","SPT",NA,"SD","M",NA,82,1.9,NA,50,6.5,NA,28,112,NA,NA
6184,"Olave 2022","Neurobiol Stress","SPT",NA,"Wistar","M",NA,77,21,"9",31,33,"9",14,35,NA,NA
6184,"Olave 2022","Neurobiol Stress","SPT",NA,"Wistar","F",NA,71,18,"9",81,NA,"9",NA,NA,NA,NA
6233,"Gao 2024","Translational Psychiatry","SPT",NA,"Wistar","M","6",NA,NA,NA,NA,NA,NA,21,126,NA,NA
6233,"Gao 2024","Translational Psychiatry","SPT",NA,"Wistar","F","6",NA,NA,NA,NA,NA,NA,21,126,NA,NA
6320,"Li 2025","Brain Res Bull","SPT",NA,"SD","M","5",69,2,"6",59,4,"6",28,168,24,24
6392,"Hong 2022","J Int Med Res","SPT",NA,"SD","M",NA,72,2.21,"10",46,2.85,"10",28,NA,24,24
6517,"Garman 2024","European Journal of Pharmacology","SPT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,21,42,6,NA
6728,"Zhao 2022","Front Neurol","SPT",NA,"SD","M",NA,85,8,"8",74,9,"8",21,63,NA,NA
