"PMID","PubID","Journal","Outcome","strain","sex","age","control_mean","control_sd","control_n","test_mean","test_sd","test_n","total_days","total_time","water_depriv_h","food_depriv_h"
30464774,"Terzioglu-Usak 2018","Int J Endocrinol Metab","EPM","Wistar","M",NA,8,5.29150262212918,"7",7,10.5830052442584,"7",7,1260,NA,NA
30464774,"Terzioglu-Usak 2018","Int J Endocrinol Metab","EPM","Wistar","M",NA,7,5.29150262212918,"7",7,5.29150262212918,"7",28,5040,NA,NA
30458283,"Bahramzadeh 2019","Neurobiol Learn Mem","EPM","Wistar","M",NA,81,38.1051177665153,"12",80,39.7994974842648,"11",10,3600,NA,NA
28662512,"Dong 2017","Cell Physiol Biochem","EPM","SD","M","6-8",11,6,"20",3,1,"20",21,7560,NA,NA
26947756,"Liu 2016","Behav Brain Res","EPM","SD","M",NA,33,33.9411254969543,"8",26,45.254833995939,"8",21,7560,NA,NA
26555398,"van 2016","Metab Brain Dis","EPM","SD","M",NA,27,24.2487113059643,"12",33,31.1769145362398,"12",5,1200,NA,NA
39214423,"Yi 2024","Behav Brain Res","OFT","SD","M",NA,22,3.67423461417477,"6",7.6,2.44948974278318,"6",28,10080,NA,NA
38655362,"Wang 2024","Heliyon","OFT","SD","M",NA,5,3.4,"11",2.9,1.5,"11",7,2520,NA,NA
38655362,"Wang 2024","Heliyon","OFT","SD","M",NA,5,3.4,"11",1.4,0.6,"11",14,5040,NA,NA
38655362,"Wang 2024","Heliyon","OFT","SD","M",NA,5,3.4,"11",0.2,0.1,"11",21,7560,NA,NA
37315214,"Hadipour 2023","Synapse","OFT","Wistar","M","12",13,5.65685424949238,"8",4.3,5.09116882454314,"8",14,1680,NA,NA
37201894,"Li 2023","Behav Brain Res","OFT","SD","M","7-8",40,31,NA,15,21,NA,35,8400,NA,NA
35528472,"Adachi 2021","J Tradit Complement Med","OFT","Wistar","M","7",19,3,"5",2,1,"5",21,7560,NA,NA
35252485,"Olave 2022","Neurobiol Stress","OFT","Wistar","M",NA,2.9,5.4,"9",1.6,2.7,"9",14,2100,NA,NA
35252485,"Olave 2022","Neurobiol Stress","OFT","Wistar","F",NA,5.8,5.30659966456864,"11",4.3,4.11096095821889,"10",14,NA,NA,NA
34025340,"Tan 2021","Front Neurosci","OFT","SD","M",NA,15.2,4.47213595499958,"20",11.3,4.02492235949962,"20",14,5040,NA,NA
33276022,"Peng 2021","Neurochem Int","OFT","SD","M","12",2.6,2.45967477524977,"5",0.05,0.122474487139159,"6",21,8190,NA,NA
29379991,"Khedr 2018","Naunyn Schmiedebergs Arch Pharmacol","OFT","Wistar","M",NA,8.8,2.2,"10",23.9,11.2,"11",42,10080,NA,NA
28293639,"Li 2017","Biomed Res Int","OFT","Wistar","M",NA,18,1.9,"12",30,2.2,"12",14,2520,NA,NA
28293639,"Li 2017","Biomed Res Int","OFT","Wistar","M",NA,19,1.7,"12",34,2.1,"12",28,5040,NA,NA
27916420,"Magdy 2017","Biomed Pharmacother","OFT","Wistar","M",NA,9,7.96743371481684,"12",24,11.0851251684408,"12",42,10080,NA,NA
